molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL165215,CC1Nc2ccc(-c3cc(F)cc(C#N)c3)cc2C(C)(c2ccccc2)O1,intermediate,369.299,4.306700000000005,2.0,3.0,7.607303046740334
CHEMBL167844,CC1(C)OC(C(F)(F)F)Nc2ccc(-c3csc(C#N)c3)cc21,intermediate,369.299,4.306700000000005,2.0,3.0,8.309803919971486
CHEMBL164082,CC1(C)OC(C(F)(F)F)Nc2ccc(-c3cccc(Cl)c3)cc21,active,287.359,3.8008000000000024,1.0,3.0,7.384049948343599
CHEMBL164140,CC1(C)OC(c2cccs2)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,339.273,4.944200000000005,1.0,2.0,7.29073003902417
CHEMBL164140,CC1(C)OC(c2cccs2)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,active,339.273,4.944200000000005,1.0,2.0,5.774174008538107
CHEMBL164188,CC1Nc2ccc(-c3ccc(C#N)s3)cc2C(C)(C)O1,active,418.16900000000004,5.461700000000005,1.0,2.0,7.568636235841013
CHEMBL299766,C=C1[C@H](O)CCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,418.16900000000004,5.461700000000005,1.0,2.0,5.468521082957745
CHEMBL299766,C=C1[C@H](O)CCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,339.273,5.088300000000005,1.0,2.0,5.769551078621726
CHEMBL51669,C=C1CCCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,339.273,5.088300000000005,1.0,2.0,6.224025668870631
CHEMBL51669,C=C1CCCC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,intermediate,268.35999999999996,4.313900000000004,0.0,3.0,6.5376020021010435
CHEMBL48745,C=C1CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,active,268.35999999999996,4.313900000000004,0.0,3.0,5.920818753952375
CHEMBL48745,C=C1CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,active,393.3210000000001,5.474100000000005,0.0,3.0,6.6020599913279625
CHEMBL1908373,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,active,393.3210000000001,5.474100000000005,0.0,3.0,8.795880017344075
CHEMBL1908373,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,intermediate,285.387,4.994320000000005,0.0,2.0,8.494850021680094
